詞項 (Word)|詞類(CKIP_POS)|詞頻(Frequency)
聯招|VA|6
聯盟|Na|6
聯電|Nb|6
講法|Na|6
講解|VE|6
鍛練|VC|6
點|Dfb|6
斷|VHC|6
藍色|Na|6
轉角|Nc|6
轉過去|VB|6
雞|Na|6
題|Nf|6
壞|VH|6
懷疑|VK|6
繪畫|Na|6
辭掉|VC|6
難免|D|6
韻律|Na|6
競爭力|Na|6
警告|Na|6
護|VC|6
權力|Na|6
權利|Na|6
驚訝|VK|6
體|Na|6
體制|Na|6
一千二|Neu|5
一再|D|5
一百萬|Neu|5
一個人|Na|5
一輩子|Na|5
七十年|Nd|5
七百|Neu|5
二二八公園|Nc|5
二十二|Neu|5
二六二|Neu|5
人格|Na|5
八德路|Nc|5
刀|Na|5
十七|Neu|5
十四|Neu|5
十多|Neu|5
三十六|Neu|5
三十四|Neu|5
三商|Nb|5
三商巧福|Nc|5
下|VCL|5
下方|Ncd|5
下來|VC|5
口袋|Na|5
土城|Nc|5
士官|Na|5
大安區|Nc|5
大夜班|Na|5
大直|Nc|5
大威廉斯|Nb|5
大哥|Na|5
大悲咒|Nb|5
小吃|Na|5
小我|Nh|5
山下|Na|5
山腳|Nc|5
工科|Na|5
工專|Nc|5
工業區|Nc|5
弓|VC|5
才藝|Na|5
不一|VH|5
不可能|A|5
不安|VH|5
不幸|VH|5
不准|VE|5
不當|VH|5
中小企業|Na|5
中文系|Nc|5
中正紀念堂|Nc|5
中坡南路|Nc|5
中國信託|Nc|5
中部|Ncd|5
中餐|Na|5
之|Nh|5
今日|Nd|5
六年級|Na|5
公升|Nf|5
公民|Na|5
公眾|A|5
公路局|Nc|5
公積金制|Na|5
分明|VH|5
分割|VC|5
午餐|Na|5
友|Na|5
天數|Na|5
太過|Dfa|5
引發|VC|5
戶口|Na|5
手指|Na|5
手電筒|Na|5
支援|VC|5
文明|Na|5
文科|Na|5
方|Nf|5
木|Na|5
比如|P|5
比較|D|5
毛|Nb|5
毛病|Na|5
水平|Na|5
水晶|Na|5
水質|Na|5
水聲|Na|5
牛奶|Na|5
王育誠|Nb|5
丙|Neu|5
以往|Nd|5
充實|VHC|5
出生地|Nc|5
出書|VA|5
出發點|Nc|5
凸|VH|5
刊|VC|5
可能性|Na|5
古巴|Nc|5
叫到|VF|5
只不過|Da|5
四十五|Neu|5
四年級|Na|5
外來|A|5
失去|VJ|5
失望|VH|5
左右|VC|5
左轉|Na|5
市民|Na|5
市立|A|5
打掃|VC|5
打瞌睡|VA|5
打擊|VC|5
本省|Nc|5
未婚|VH|5
民族性|Na|5
民間|Nc|5
永春站|Nc|5
氾濫|VH|5
玉|Na|5
瓦解|VH|5
生|VH|5
皮|Na|5
立|VC|5
丟掉|VC|5
交易|Na|5
交流|VH|5
交接口|Nc|5
交通部|Nc|5
交換所|Nc|5
交銀總行|Nc|5
交誼廳|Nc|5
企劃|Na|5
企管|Na|5
光華|Na|5
光碟片|Na|5
全國|Nc|5
共同|A|5
再再|D|5
印|VC|5
印度教|Nb|5
危險性|Na|5
吉野家|Nb|5
各式各樣|A|5
名義|Na|5
合唱團|Na|5
吃虧|VH|5
回回|Nb|5
地下鐵|Na|5
地主|Na|5
地名|Na|5
地址|Na|5
地科|Nb|5
地盤|Na|5
地鐵|Na|5
在於|VK|5
多事|VH|5
好不|Dfa|5
好事|Na|5
字母|Na|5
守法|VA|5
安全帽|Na|5
安慰|VC|5
年終|Nd|5
忙到|VCL|5
成功路|Nc|5
成就|VC|5
成績單|Na|5
扣掉|VC|5
扛|VC|5
早年|Nd|5
早早|D|5
有一點點|Dfa|5
有好有壞|VH|5
有看到|VC|5
汗|Na|5
污染|Na|5
百分之二十|Neqa|5
老人|Na|5
老天|Na|5
自以為|VE|5
自由自在|VH|5
色情|Na|5
行情|Na|5
行號|Na|5
西門戲院|Nc|5
西藏|Nc|5
佛教|Nb|5
你等|Nh|5
判斷|VE|5
利率|Na|5
利潤|Na|5
劫機|VA|5
呈現|VJ|5
告|VC|5
吸|VC|5
困擾|Na|5
完蛋|VH|5
局勢|Na|5
抗戰|VA|5
技|Na|5
把|Nf|5
扯|VC|5
投票|VA|5
改進|VC|5
攻擊|Na|5
更加|Dfa|5
李遠哲|Nb|5
求生|VA|5
決心|Na|5
見到|VE|5
角|Na|5
走出來|VA|5
走向|VCL|5
走回來|VA|5
走進來|VA|5
身份|Na|5
身為|VG|5
車行|Nc|5
巡視|VC|5
來自於|VI|5
兒|Na|5
兩千多|Neu|5
兩兩|Neqa|5
刺激|Na|5
制式|A|5
協調|VC|5
呼吸|VC|5
和平東路|Nc|5
固定式|A|5
坪|Nf|5
夜間部|Nc|5
怪|VH|5
性向|Na|5
所|Nc|5
所有人|Na|5
所想|Na|5
拖走|VC|5
放不下|VJ|5
放任|VL|5
放暑假|VA|5
明文規定|VE|5
朋|Na|5
松|Na|5
武警|Na|5
河堤|Na|5
波|Nf|5
法令|Na|5
法語|Na|5
泡沫|Na|5
泡茶|VA|5
爭|VC|5
社福|Na|5
股|Nf|5
肯|VL|5
芭達雅|Nc|5
花樣|Na|5
近|Da|5
長沙|Nc|5
阿拉|Nb|5
阻止|VC|5
青雲街|Na|5
信義區|Nc|5
冒出|VJ|5
冠亞賽|Na|5
前途|Na|5
厚|VH|5
品|Na|5
城|Na|5
封|Nf|5
封面|Na|5
屍體|Na|5
巷口|Nc|5
帥|VH|5
建中|Nc|5
建制|Na|5
建制|VA|5
後|Nes|5
急|VH|5
按摩|VC|5
拼命|VH|5
拼起來|VB|5
挑戰|Na|5
春天|Nd|5
星|Na|5
染|VC|5
段考|Na|5
流程|Na|5
流傳|VK|5
活到|VH|5
活潑|VH|5
炸彈|Na|5
省份|Na|5
看多|VC|5
看來|D|5
研|VE|5
科威特|Nc|5
穿過去|VB|5
紅色|Na|5
紅茶店|Nc|5
美好|VH|5
美麗|VH|5
苦|Na|5
若|Cbb|5
要|VE|5
計劃|Na|5
訂單|Na|5
軍事|Na|5
軍官|Na|5
軌道|Na|5
重心|Na|5
風災|Na|5
風俗|Na|5
飛行|VA|5
食物|Na|5
乘客|Na|5
修飾|VC|5
凍|VHC|5
原地|Nc|5
埔|Nc|5
家具|Na|5
家長會|Na|5
展示|VC|5
展演|VC|5
師大路|Nc|5
師出有名|VH|5
拿捏|VC|5
捐|VD|5
時薪|Na|5
校園|Nc|5
根據|P|5
桌球|Na|5
栽培|VC|5
格|Na|5
氣息|Na|5
消耗|VC|5
消費者|Na|5
消費額|Na|5
海珊|Nb|5
海軍|Na|5
海鮮|Na|5
海邊|Na|5
浮|VA|5
烤肉|Na|5
病毒|Na|5
真誠|VH|5
破壞|VC|5
窄|VH|5
純|VH|5
級|Na|5
紙|Na|5
紙張|Na|5
缺點|Na|5
能量|Na|5
能源|Na|5
臭|VH|5
茫然|VH|5
起伏|VA|5
送給|VD|5
退休金|Na|5
高普考|Na|5
紓解|VJ|5
停止|VF|5
做|VG|5
做起來|VA|5
偉人|Na|5
健身房|Nc|5
偏僻|VH|5
商人|Na|5
商科|Na|5
問卷|Na|5
問問|VE|5
國三|Na|5
國片|Na|5
國王與我|Nb|5
國民|Na|5
國貿|Na|5
國旗|Na|5
堅強|VH|5
專賣|VC|5
崇拜|VJ|5
帶子|Na|5
帶領|VF|5
帳戶|Na|5
帳務|Na|5
探親|VA|5
接回來|VC|5
接待|VC|5
接班人|Na|5
接機|VA|5
捷徑|Na|5
推廣|VC|5
採購|VC|5
教導|VC|5
涼|VH|5
清淨|VH|5
清楚|VK|5
清潔|VH|5
球場|Nc|5
理工科|Nc|5
理想|Na|5
現實|Na|5
甜|VH|5
眷村|Na|5
第幾|Neu|5
粗|VH|5
聊聊天|VA|5
蚵仔煎|Na|5
袋|Na|5
規律|Na|5
規模|Na|5
設廠|VA|5
通信|VA|5
通勤|VA|5
逛逛街|VA|5
途|Na|5
都嘛|D|5
陸|Na|5
陸續|D|5
頂|VC|5
麥|Na|5
凱悅|Nb|5
凱達|Nb|5
勞力|Na|5
單元|Na|5
單行|A|5
單行道|Nc|5
喬|Nb|5
場面|Na|5
報告|Na|5
報應|Na|5
幾度|D|5
幾萬|Neu|5
悲觀|VH|5
揍|VC|5
提出|VC|5
提出來|VC|5
提醒|VE|5
換句話說|Dk|5
替代|VJ|5
期望|VK|5
湊|VC|5
測試|Na|5
焦點|Na|5
無知|VH|5
然|Cbb|5
煮飯|VA|5
登|VC|5
發行|VC|5
發表|VC|5
發動|VC|5
發現到|VE|5
發源地|Nc|5
硬|D|5
華信銀行|Nc|5
華納威秀|Nb|5
華僑銀行|Nc|5
華齡街|Nc|5
蛙式|Na|5
街頭|Nc|5
視線|Na|5
貶值|VH|5
週刊|Na|5
進口|VC|5
開車到|VCL|5
開學|VH|5
間|Ncd|5
階級|Na|5
雲霧|Na|5
黃|VH|5
傳出|VC|5
傾向|Na|5
匯率|Na|5
填鴨式|A|5
奧地利|Nc|5
嫁|VC|5
意識到|VK|5
感冒|VH|5
想出|VE|5
想像|Na|5
搬到|VC|5
搶劫|VC|5
新生南路|Nc|5
新進|A|5
新潮|VH|5
暗|VH|5
會員|Na|5
會費|Na|5
會請|VF|5
會議|Na|5
業務員|Na|5
楊|Nb|5
準|D|5
照像|VB|5
照顧到|VC|5
爺爺|Na|5
當作|VG|5
當做|VG|5
碰上|VC|5
碰面|VA|5
碗|Na|5
經|Na|5
聖地|Nc|5
腳|Nf|5
試|Na|5
誠品|Nb|5
誠實|VH|5
跟團|VB|5
跨過|VCL|5
路竹|Nc|5
路況|Na|5
路段|Na|5
跳來跳去|VA|5
過份|VH|5
過期|VH|5
隔閡|VJ|5
電動|Na|5
飽|VH|5
僑委會|Nc|5
墓|Na|5
夥伴|Na|5
實施|VC|5
對|VHC|5
彰銀|Nc|5
敲|VC|5
滿|VH|5
睡袋|Na|5
禎|Nb|5
福州|Nc|5
福氣|Na|5
種|VC|5
管理|Na|5
緊|VH|5
聚會|Na|5
豪華|VH|5
賓士|Nb|5
銀|Na|5
鳳山|Nc|5
儀器|Na|5
劍潭|Nc|5
寫完|VC|5
廢|VC|5
廣州|Nc|5
廣泛|VH|5
德|Nc|5
德州|Nc|5
慶豐總行|Nc|5
撐|VC|5
敵對|Na|5
數據|Na|5
樂趣|Na|5
潛能|Na|5
潮流|Na|5
盤|Nf|5
編審|Na|5
線|Nf|5
衝突|VH|5
豬|Na|5
質疑|VE|5
適當|VH|5
銷售|VC|5
髮禁|Na|5
學姊|Na|5
學說|Na|5
機械|Na|5
機廠|Nc|5
燈會|Na|5
積極|VH|5
興|VC|5
螢幕|Na|5
親切|VH|5
親美|Nb|5
選票|Na|5
選輸|VJ|5
遺憾|Na|5
錯誤|Na|5
錄影|VA|5
隨心所欲|VH|5
靜態|Na|5
鴨|Na|5
龍|Na|5
龜|Na|5
壓制|VC|5
幫助|Na|5
應用|Na|5
濟南|Nc|5
營養|Na|5
環|Na|5
癌細胞|Na|5
總部|Nc|5
總會|D|5
聯誼|VA|5
虧損|VJ|5
講求|VK|5
霞|Na|5
擺在|VC|5
檯面|Nc|5
禮|Na|5
藍|VH|5
轉彎|Na|5
離家|VA|5
離職|VH|5
雙|A|5
雙子星|Nb|5
額外|A|5
題材|Na|5
壞事|Na|5
懷|VJ|5
羅大佑|Nb|5
羅斯福路|Nc|5
藥|Na|5
證|Na|5
贊同|VJ|5
關|Na|5
關係|VK|5
關渡|Nc|5
關穎珊|Nb|5
願|VK|5
勸|VF|5
覺得說|VK|5
議員|Na|5
黨工|Na|5
黨保|Na|5
鐵|Na|5
飆|Nb|5
變動|VHC|5
變數|Na|5
變壞|VH|5
顯現|VH|5
驗|VC|5
體諒|VK|5
體質|Na|5
靈魂|Na|5
讚|VH|5
911|Neu|4
一口|D|4
一百五|Neu|4
一兩百|Neu|4
一清|Nb|4
一連串|A|4
一窩蜂|D|4
一點五|Neqa|4
一點五|Neu|4
七十八巷|Nc|4
七十六|Neu|4
七段|Nc|4
九六|Neu|4
二十一|Neu|4
二次世界大戰|Nb|4
二高|Nc|4
二零零一年|Nd|4
二輪|A|4
人手|Na|4
人民幣|Na|4
人體|Na|4
刁難|VC|4
十月|Nd|4
十幾萬|Neu|4
三分之二|Neqa|4
三四十|Neu|4
三百多|Neu|4
三角|Na|4
三軍軍官俱樂部|Nc|4
下|Nf|4
下跌|VH|4
丈夫|Na|4
上大學|VA|4
上到|VCL|4
凡事|Na|4
亡國|VH|4
土質|Na|4
士|Na|4
大伯|Na|4
大事|Na|4
大度路|Nc|4
大約|Da|4
大家樂|Na|4
大笑|VA|4
大都|D|4
大廈|Na|4
大概|Na|4
大葉|Nc|4
大道|Na|4
大聯盟|Na|4
大權|Na|4
女中|Nc|4
女方|Na|4
女孩|Na|4
女神|Na|4
子弟|Na|4
小魚|Na|4
小溪|Na|4
工資|Na|4
弓|Na|4
才|D|4
不了了之|VH|4
不下|VH|4
不少|VH|4
不用說|Dk|4
不但|Cbb|4
不足|VH|4
不肯|D|4
不停|VA|4
不得不|D|4
不變|VH|4
中正區|Nc|4
中生代|Na|4
中共|Nc|4
中亞|Nc|4
中班|Nc|4
中視|Nc|4
之所以|Cbb|4
五六十|Neu|4
五專|Nc|4
什|Nb|4
仇恨|Na|4
介|VJ|4
元年|Nd|4
允許|VE|4
內心|Na|4
內向|VH|4
內湖高中|Nc|4
內勤|Na|4
公務|Na|4
公婆|Na|4
公營|VH|4
分|D|4
分公司|Nc|4
分解|VC|4
分類|Na|4
化|VG|4
升級|VH|4
友善|VH|4
及格|VH|4
反過來|VB|4
反彈|VA|4
天主教|Nb|4
天生|VH|4
天宮|Nc|4
天然|A|4
巴勒斯坦|Nc|4
心血|Na|4
心得|Na|4
心想說|Na|4
手法|Na|4
手記|Na|4
支票|Na|4
文山區|Nc|4
文件|Na|4
方|D|4
方向感|Na|4
日式|A|4
日裔|Na|4
月底|Nd|4
比手畫腳|VA|4
水彩|Na|4
水溝|Na|4
水療|VB|4
水療館|Nc|4
父|Na|4
牛|Na|4
王菲|Nb|4
世界杯|Nb|4
世棒賽|Na|4
世華銀行信託部|Nc|4
主見|Na|4
以下|Ng|4
以上|Ncd|4
以及|Caa|4
付錢|VA|4
代表|Na|4
代價|Na|4
兄弟|Nb|4
出|VJ|4
加上|Cbb|4
功夫|Na|4
包廂|Na|4
北方聯盟|Nb|4
卡拉OK|Na|4
可見|Dk|4
右手|Na|4
台大醫學院|Nc|4
四十六巷|Nc|4
四五十|Neu|4
四年|Nd|4
四萬多|Neu|4
四獸山|Nc|4
外省|Nc|4
外務|Na|4
左下方|Ncd|4
左營|Nc|4
平平淡淡|VH|4
平淡|VH|4
平等|VH|4
打包|VA|4
打打|VC|4
打來|VC|4
打招呼|VB|4
打敗|VC|4
打球|VA|4
打滑|VH|4
正式|VH|4
母語|Na|4
永|D|4
犯沖|Na|4
生澀|VH|4
用意|Na|4
甲醛|Na|4
皮箱|Na|4
皮鞋|Na|4
目的地|Nc|4
石頭|Na|4
立足點|Na|4
立法院|Nc|4
交到|VC|4
交界|Nc|4
交通銀行總行|Nc|4
伏地挺身|Na|4
任|VG|4
企|D|4
共匪|Na|4
再下去|D|4
冰|VHC|4
印到|VC|4
同班|VI|4
吊|VC|4
各|D|4
各行各業|Na|4
吃力|VH|4
吃素|VA|4
吃起來|D|4
吃喝玩樂|VA|4
因緣際會|VH|4
地下|Na|4
地上|Nc|4
地位|Na|4
地球|Na|4
在學|VH|4
在職|VH|4
好奇心|Na|4
守|VC|4
安老所|Na|4
忙|Na|4
忙著|VL|4
忙碌|VH|4
成大|Nc|4
成熟|VH|4
收錢|VA|4
早起|VA|4
早晚|D|4
有失|VJ|4
有所|VJ|4
有理|VH|4
有線|A|4
有關於|P|4
朱|Nb|4
朱同曉|Nb|4
池|Na|4
百分之百|Neqa|4
羊|Na|4
老三|Na|4
老家|Nc|4
考好|VB|4
考量|Na|4
肌肉|Na|4
自己人|Na|4
自由化|VHC|4
自保|VA|4
自習|VA|4
自然科|Na|4
自學班|Nc|4
行事|VA|4
行庫|Nc|4
西班牙|Nc|4
西醫|Na|4
串通|VC|4
住院|VA|4
免|VJ|4
免得|Cbb|4
兵馬|Na|4
判|VE|4
即時|VH|4
呂秀蓮|Nb|4
告知|VE|4
吸引力|Na|4
吵架|VA|4
含有|VJ|4
困|VCL|4
坐|VC|4
坐下來|VA|4
岔路|Na|4
希爾頓飯店|Nc|4
形狀|Na|4
忍受|VK|4
抗生素|Na|4
抗拒|VC|4
抗衡|VA|4
技能|Na|4
扶|VC|4
扭腰|VA|4
投稿|VA|4
改革|VC|4
改善|VC|4
改裝|VC|4
攻打|VC|4
材料|Na|4
村子|Na|4
沙非|Nb|4
沙烏地|Nc|4
沈野|Nb|4
沖|VC|4
災難|Na|4
狂熱|VH|4
男孩|Na|4
秀|Nb|4
良好|VH|4
角角|Na|4
角落|Nc|4
走去|VA|4
走來走去|VA|4
身分|Na|4
車門|Na|4
那麼多|VH|4
防|VC|4
乖|VH|4
事務所|Nc|4
事變|Na|4
依照|P|4
依靠|VC|4
佳音|Na|4
使得|VL|4
例外|Na|4
來上|VC|4
兩岸|Nc|4
兩萬七|Neu|4
具|VJ|4
刷爆|VC|4
刺激|VH|4
取消|VC|4
受創|VH|4
咄|Nb|4
固|Cbb|4
坪林|Nc|4
坦然|VH|4
姊妹|Na|4
定力|Na|4
定居|VA|4
定點|Na|4
官|Na|4
尚凌苑|Nb|4
延吉|Nc|4
延續|VJ|4
往後|Nd|4
忽然間|D|4
念到|VC|4
所得|Na|4
承擔|VC|4
拉斯維加斯|Nc|4
招|VC|4
披露|VE|4
抽籤|VA|4
抵抗力|Na|4
拆|VC|4
抬頭|VA|4
放寬|VC|4
明華園|Nb|4
明確|VH|4
昏|VH|4
服|VC|4
東北|Nc|4
東北|Ncd|4
東興|Nb|4
林森|Nb|4
板|Na|4
松山路|Nc|4
注|VC|4
河流|Na|4
河道|Na|4
波斯灣|Nc|4
沸騰|VH|4
油畫|Na|4
治療|Na|4
物流|Na|4
狀|Na|4
玫瑰|Na|4
直達|VCL|4
知本|Nc|4
糾紛|Na|4
肺癌|Na|4
門票|Na|4
門路|Na|4
附中|Nc|4
附加年金制|Na|4
亮|VH|4
信任|VJ|4
信徒|Na|4
信教|VA|4
促進|VK|4
剎那|Na|4
勁|Na|4
南半球|Nc|4
南京|Nc|4
南京東路|Nc|4
南門|Nc|4
南海學園|Nc|4
南斯拉夫|Nc|4
南極蝦|Nb|4
咬|VC|4
娃娃|Na|4
封閉|VH|4
帥哥|Na|4
建議|Na|4
很少|Neqa|4
待會|D|4
後|Ncd|4
後座|Nc|4
後續|A|4
拜拜|VA|4
拜師|VA|4
指令|Na|4
政戰|Na|4
春|Nd|4
春捲|Na|4
洪|Nb|4
活下去|VH|4
省長|Na|4
省道|Nc|4
省錢|VH|4
省籍|Na|4
相|D|4
眉毛|Na|4
看看看看|VC|4
砍掉|VC|4
秋|Nd|4
突出|VH|4
突破|VC|4
紀念堂|Nc|4
紀念館|Nc|4
美西|Nc|4
美容|Na|4
背對|VC|4
要回|VC|4
計較|VK|4
計算|VC|4
負債|VH|4
重大|VH|4
重慶南路口|Nc|4
重疊|VH|4
限定|VK|4
降到|VJ|4
面臨到|VJ|4
風|Na|4
首先|D|4
乘|Nf|4
乘以|VJ|4
值|Na|4
倒楣|VH|4
修正|VC|4
倉頡|Nb|4
兼顧|VC|4
原先|D|4
員|Nf|4
哪是|Cbb|4
家務|Na|4
家教班|Na|4
席|Nf|4
師大附中|Nc|4
師傅|Na|4
師資|Na|4
拿給|VD|4
捍衛|VC|4
料理|Na|4
晉級|VJ|4
書局|Nc|4
書信|Na|4
校門|Na|4
框框|Na|4
根本|Na|4
桂林|Nc|4
桌|Nf|4
殷|VH|4
海軍|Nc|4
烤|VC|4
留到|VC|4
留長|VH|4
症|Na|4
疼|VH|4
砲|Na|4
神奇|VH|4
秘書室|Nc|4
站|Na|4
粉紅色|Na|4
紐約紐約|Nb|4
納|VC|4
耗|VJ|4
耽誤|VC|4
茲|Nd|4
衰弱|VH|4
記錯|VJ|4
討論到|VE|4
財政部|Nc|4
財經|Na|4
起|VJ|4
起跳|VA|4
退房|VA|4
院長|Na|4
陣|Nf|4
馬偕|Nb|4
骨頭|Na|4
高分|Na|4
高度|Na|4
高層|Na|4
鬥|VC|4
衿持|VC|4
乾燥|VH|4
偽裝|VC|4
停課|VH|4
做工|VA|4
做為|VG|4
做錯|VC|4
偉大|VH|4
健身中心|Nc|4
偏|D|4
偏袒|VJ|4
偏頗|VJ|4
副理|Na|4
動物園|Nc|4
區|Nc|4
曼|Nb|4
曼谷|Nc|4
商務|Na|4
唱片|Na|4
唱唱|VC|4
問到|VE|4
問問看|VE|4
唸完|VC|4
圈|Na|4
圈子|Na|4
國軍|Na|4
基本數|Na|4
寄來|VD|4
寄給|VD|4
寂寞|VH|4
專科|Nc|4
專櫃|Nc|4
崇|VJ|4
帶給|VD|4
帶過去|VB|4
帶過來|VA|4
帳篷|Na|4
張菲|Nb|4
強權|Na|4
得多|Dfb|4
從小到大|D|4
從此|D|4
情報|Na|4
接洽|VC|4
接駁|VC|4
掛號信|Na|4
推銷|VC|4
推薦|VC|4
採訪|Na|4
排到|VC|4
教育局|Nc|4
教務|Na|4
教堂|Nc|4
教義|Na|4
敗|VH|4
斜坡|Na|4
斜對角|Nc|4
族|Na|4
晚自習|VA|4
晚婚|VH|4
晚飯|Na|4
晚霞|Na|4
梅縣|Nc|4
條理|Na|4
殺|VC|4
涼快|VH|4
清|VC|4
清理|VC|4
清新|VH|4
淋|VC|4
淹死|VHC|4
淹到|VC|4
牽扯到|VC|4
理|VJ|4
理想|VH|4
現在人|Na|4
現現|D|4
甜美|VH|4
異類|Na|4
笨蛋|Na|4
第六|Neu|4
統領|Nc|4
紹興|Nc|4
累積|VC|4
荷蘭|Nc|4
處於|VJ|4
設立|VC|4
設計師|Na|4
這麼多|VH|4
通化街|Nc|4
透明|VH|4
逛逛|VCL|4
釣|VC|4
陳怡萱|Nb|4
陸陸續續|D|4
鳥|Na|4
最佳|A|4
勞|VF|4
勞改|VH|4
單|A|4
單|Da|4
單字|Na|4
場|Nc|4
場所|Na|4
報章|Na|4
壹週刊|Nc|4
幾|D|4
描寫|VC|4
提升|VC|4
揹|VC|4
暑修|Na|4
替代役|Na|4
棵|Nf|4
棒球|Na|4
殖民地|Nc|4
港|Nc|4
游月霞|Nb|4
渡|VCL|4
無名|A|4
無限|VH|4
牌|Na|4
猶|D|4
畫一|VH|4
發|VH|4
發音|Na|4
發飆|VA|4
盜版|Na|4
短期|Nd|4
等一|Na|4
筆試|VA|4
結束掉|VC|4
紫雲|Nb|4
善良|VH|4
菸|Na|4
華信|Nb|4
著|VC|4
萊|Nb|4
虛擬|VC|4
街道|Na|4
視覺|Na|4
評估|VE|4
貼紙|Na|4
貴族|Na|4
買賣|VC|4
越過|VCL|4
超大|VH|4
趁機|D|4
跑過|VCL|4
進去|VC|4
進駐|VCL|4
鄉村|Nc|4
量|Na|4
開刀房|Nc|4
開火|VA|4
集|Na|4
集|VC|4
集團|Na|4
雲|Na|4
項|Nf|4
飯碗|Na|4
黃|Nb|4
黃金|Na|4
黑色|Na|4
黑黑|VH|4
傳單|Na|4
傷|VH|4
傷心|VH|4
嗜好|Na|4
圓|VH|4
嫉妒|VJ|4
幹掉|VC|4
微風|Nc|4
意識|Na|4
意願|Na|4
愛之船|Nb|4
愛國|VH|4
愛情|Na|4
搶救|VC|4
新人|Na|4
新鮮|VH|4
會合|VA|4
會長|Na|4
楊保羅|Nb|4
溫|Nb|4
溫室效應|Nb|4
滑|VH|4
準時|VH|4
準備好|VC|4
溜冰|VA|4
照到|VC|4
照樣|D|4
獅|Na|4
瑞|Nc|4
當場|D|4
萬壽|Nb|4
節制|VJ|4
經過|P|4
經濟系|Nc|4
經營|Na|4
罪有應得|VH|4
義診|VA|4
腦|Na|4
腦子|Na|4
腦袋|Na|4
號碼|Na|4
裙子|Na|4
該不該|D|4
試管|Na|4
資助|VC|4
資訊系|Nc|4
跨過去|VA|4
路標|Na|4
跳|Na|4
跳動|VA|4
跳舞|VA|4
農|Na|4
農會|Nc|4
農業|Na|4
運作|VA|4
運動會|Na|4
違法|VA|4
違規|VA|4
過敏|VI|4
遍|Nf|4
隔壁班|Nc|4
電子業|Na|4
電信|Na|4
電動玩具|Na|4
預|D|4
預存|VC|4
預言|Na|4
預售票|Na|4
團費|Na|4
夢|Na|4
寧肯|VL|4
寧願|VK|4
實小|Nc|4
對付|VC|4
對待|VC|4
對街|Nc|4
對象|Na|4
截彎取直|VH|4
摸索|VE|4
暢通無阻|VH|4
暨|Caa|4
歌手|Na|4
演戲|VA|4
盡|VJ|4
監視|VC|4
睡到|VCL|4
福建省|Nc|4
種好|VC|4
算法|Na|4
精力|Na|4
維特|Nb|4
肇事者|Na|4
舞廳|Nc|4
蓋|Na|4
蜜月|Na|4
製|VC|4
製作人|Na|4
認同|VJ|4
認知|VJ|4
誤解|VK|4
說上|VC|4
趙少康|Nb|4
輔|VC|4
遠東|Nc|4
遙遠|VH|4
閩南人|Na|4
障礙|Na|4
際遇|Na|4
需不需要|VK|4
領導|VC|4
價值觀|Na|4
噴|VC|4
寫不出|VC|4
廚師|Na|4
徵信社|Nc|4
慧|Na|4
播音員|Na|4
數|Neu|4
標示|VC|4
標題|Na|4
模仿|VC|4
模特兒|Na|4
樂觀|VH|4
歐|Nc|4
稿子|Na|4
練習|Na|4
蓮花|Na|4
蔬菜|Na|4
蔣公|Nb|4
蓬勃|VH|4
蝶式|Na|4
蝦|Na|4
談不攏|VJ|4
調正|VC|4
調適|VC|4
論語|Nb|4
質料|Na|4
踢|VC|4
輩|Na|4
輪到|VL|4
遭受到|VJ|4
遷|VC|4
閱讀|VC|4
鞋子|Na|4
養成|VG|4
餓死|VHC|4
駕駛|VC|4
噁心|VH|4
儘管|Cbb|4
奮鬥|VA|4
學弟|Na|4
學得|VC|4
學習|Na|4
學術|Na|4
學雜費|Na|4
戰士|Na|4
戰略|Na|4
擋|VC|4
操心|VK|4
操縱|VC|4
擔憂|VK|4
整齊|VH|4
整整|Da|4
橫|VA|4
激發|VC|4
篩選|VC|4
縣市|Nc|4
興|Na|4
興隆路|Nc|4
賴|VK|4
辦公|VA|4
選民|Na|4
選好|VC|4
選修|VC|4
錯誤|VH|4
險|Na|4
頻繁|VH|4
餐|Na|4
優惠存款|Na|4
優勢|Na|4
嚇一跳|VH|4
壓抑|VC|4
應該|VH|4
營利|VA|4
營業|VA|4
縫|VC|4
繁榮|VHC|4
聲|Na|4
聯邦|Na|4
講出來|VB|4
賺回來|VC|4
賺到|VC|4
避免|VE|4
韓國人|Na|4
顆|Nf|4
鮮|VH|4
叢林|Na|4
擴充|VC|4
擴張|VHC|4
櫃台|Nc|4
櫃檯|Na|4
禮堂|Nc|4
繞回|VCL|4
藉由|P|4
轉行|VA|4
醫治|VC|4
醫師|Na|4
醫學|Na|4
醫學院|Nc|4
雜|VH|4
雙連|A|4
顏料|Na|4
龐大|VH|4
爆|VH|4
爆發|VJ|4
爆發性|Na|4
穩定下來|VHC|4
穩潔|Na|4
證照|Na|4
蹲|VA|4
辭職|VA|4
鏟|VC|4
難吃|VH|4
類型|Na|4
騙人|VA|4
籌備|VC|4
蘇|Nc|4
議案|Na|4
警衛室|Nc|4
贏得|VJ|4
麵包|Na|4
囂張|VH|4
攝影機|Na|4
蘭卡威|Nc|4
蠢|VH|4
護專|Nc|4
攤|Na|4
攤位|Na|4
歡呼|VE|4
變好|VH|4
觀光|Na|4
觀光業|Na|4
鑽|VC|4
ㄅㄆㄇㄈ|FW|3
一九七七|Neu|3
一九七五年|Nd|3
一九八一年|Nd|3
一二十|Neu|3
一千萬|Neu|3
